Symbol	Description
GJEW	Hsi 24000mbepw220629
GNLW	Thomson Med Grp Ltdw220424
GRE	Uob Ap Grn Reit Us$
GRN	Uob Ap Grn Reit S$
GRQ	Don Agro
GSD	Gld Sg$
GSKW	Hsi 28000mbecw220530
GU5	China Kunda Tech Holdings Ltd
GVVW	Wilmar Mb Ecw221014
GYOW	Hstech 5400mbepw220330
H02	Haw Par Corp Ltd
H07	Stamford Land Corporation Ltd
H12	Hotel Royal Ltd
H13	Ho Bee Investment Limited
H15	Hotel Properties Ltd
H18	Hotel Grand Central Ltd
H19	Hwa Hong Corporation Limited
H1N	Lyxor Etf Msci Emerging Mkt 10
H20	Hoe Leong Corporation Ltd.
H22	Hong Leong Asia Ltd.
H30	Hong Fok Corporation Ltd
H78	Hongkong Land Holdings Limited
HD9	Dbxt Ftse Vietnam Etf 10
HEXW	Hsi 23600mbecw220128
HGPW	Byd Mb Ecw220302
HHKW	Ascendasreit Mbecw221101
HISW	Xiaomi Mbecw220302
HKB	Amtd Ib Ov
HMMW	Meituan 5xshortub241231
HMN	Ascott Trust
HNJW	Kuaisho Mb Ecw220705
HOHW	Hsi 7xshortub241231
HRDW	Hsi 26000mbecw220530
HSS	Lion-ocbc Sec Hstech Us$
HST	Lion-ocbc Sec Hstech S$
HWUW	Hstech 5600mbecw220629
HXHW	Meituan Mb Epw220404
i06	Intraco Limited
i07	Isdn Holdings Limited
i11	Ipco Int'l Limited
i15	Isetan (singapore) Ltd
i49	Ifs Capital Limited
I98	Is Msci India 100
IENW	S&p 5000mbecw220318
IMNW	Nky 26000mbepw220311
IPFW	Hsi 22600mbepw220128
IUEW	Capitalandinvmbecw221028
IUUW	Pingan Mb Epw220705
IW5	Seroja Investments Limited
IWBW	Hsi 25200mbecw220128
IWKW	Envictus Intl Holdings W221128
IX2	Pec Ltd.
IXDW	Hsi 23400mbepw220330
IXLW	Hsi 24200mbepw220128
IYCW	Byd Mb Epw220302
IYZW	Hsi 24800mbecw220428
J03	Jadason Enterprises Ltd
J17	Jackspeed Corporation Limited
J2T	Hock Lian Seng Holdings Ltd
J36	Jardine Matheson Hldgs Ltd
J69U	Frasers Centrepoint Trust
J85	Cdl Hospitality Trusts
J91U	Cambridge Industrial Trust
JK8	United Sse 50 China Etf
JLB	Grand Venture Technology Ltd
JYEU	Lendlease Reit
K03	Khong Guan Flour Milling Ltd
K1Q	Ttj Holdings Limited
K29	Karin Technology Hldgs Limited
K2LU	Cache Logistics Trust
K3CD	China Eastern Air Adr 10
K3DD	Sinopec Petrochemical Adr 10
K3FD	Huaneng Power Intl Adr 10
K3HD	Aluminum Corp Of China Adr 10
K3MD	Netease.com Adr 10
K3OD	Petrochina Adr 10
K3RD	Ctrip.com International Adr 10
K3SD	Baidu.com Adr 10
K3TD	China Southern Air Adr 10
K6S	Prudential Plc
K71U	K-reit Asia
K75	Koh Brothers Group Limited
KAFW	Hsi 21400mbepw220428
KDVW	Dlc Socgen7xlonghsi 220225
KHDW	Koh Brothers Eco Engg W230925
KI3	Hu An Cable Holdings Ltd.
KJ5	Bbr Holdings (s) Ltd
KJ7	Dbxt Msci Indonesia Etf 10
KMUW	Hsi 25400mbecw220629
KNNW	Sti 3000mbepw220225
KNXW	Hsi 7xlongub241231
KSDW	Kuaisho Mb Ecw220404
KUCW	Sands Mb Epw220705
KUH	Tsh Corporation Ltd
KUO	International Cement Groupltd.
KUX	Dlf Holdings Limited
KV4	Dbxt Iboxx Singapore Etf 5
KXJW	Geely Mb Epw220404
KZHW	Vikingw220701
L02	Manhattan Resources Limited
L03	Lian Beng Group Ltd
L09	Lung Kee (bermuda) Hldgs Ltd
L19	Lum Chang Holdings Limited
L23	Enviro-hub Holdings Ltd
L38	L.c.development Ltd
L5I	Abterra Ltd
LBHW	Alibaba Mb Epw220404
LG9	Dbxt Msci China Trn Etf 10
LGDW	Byd Mb Epw220404
LHUW	Hsi 27600mbecw220128
LIW	Eagle Hospitality Trust
LJ3	Overseas Union Enterprise Ltd
LPMW	Hsi 20600mbepw220428
LQRW	Meituan 5xlongub241231
LS9	Leader Environmental Tech Ltd
LSCW	Informatics W240821^
LSHS	N519100a 240201
LSS	Phil Long Simsci2x S$
LSU	Phil Long Simsci2x Us$
LUY	Raffles Infrastructurehldgsltd
M01	Metro Holdings Limited
M03	Miyoshi Precision Limited
M04	Mandarin Oriental Intl Ltd
M05	Mtq Corporation Limited
M11	Mfg Integration Technology Ltd
M14	Innotek Limited
M15	Matex International Limited
M1GU	Sabana Shari'ah Compliant Reit
M1Z	Tee International Limited
M44U	Mapletree Logistics Trust
M62	Cimb Ftse Asean40 100
MBH	Nikkoam Sgd Ig Corp Bond Etf
MBUW	Pingan Mb Ecw220705
MCAW	Citydev Mb Ecw220701
MCUW	Ocbc Bk Mb Ecw221028
ME8U	Mapletree Industrial Trust
MF6	Mun Siong Engineering Limited
MHLW	Byd 5xshortsg221115
MIJ	Alliance Healthcare Group Ltd
MMS	Phillip Mm S$
MMT	Phillip Mm Us$d
MNTW	Dbs Mb Epw221215
MPNW	Xiaomi Mbecw220602
MQVW	Comfort 5xlongsg231115
MR7	Nordic Group Limited
MT1	Dragon Group Intl Limited
MV4	Mewah International Inc.
MVYW	Xinyisolar Mb Ecw220705
MWSW	Galaxy Mb Ecw220705
MXNU	Elitecomreit Gbp
MZH	Nanofilm
N01	Neratelecommunications Ltd
N02	Nsl Ltd.
N08	New Toyo Int Hldgs Ltd
N0Z	Combine Will Intl Hldgs Ltd
N2H	Hyflux 6% Cum Pref Class A 10
N2IU	Mapletree Commercial Trust
N32	Nippecraft Limited
N33	Nomura Holdings Inc
N4E	Nam Cheong Limited
N5YD	Mufj Financial Adr 10
N6DD	Mizuho Financial Adr 10
N6FD	Toyota Motor Adr 10
N6M	Ishares Usd Asia Bond Etf
NAHW	Sgx Mb Ecw220704
NC2	Sri Trang Agro-industry Pcl
NCXW	Lifebrandz W240621
NEX	Reclaims Global Limited
NHD	Jubilee
NKMW	Jd Mb Epw220705
NO4	Dyna-mac Holdings Ltd.
NPSW	Hsi 25200mbecw220330
NPW	Malaysia Smelting Corp Bhd
NR7	Raffles Education Corp Ltd
NS8U	Hutchison Port Holdings Trust
NTU	Novotellusspac U
NWNW	Hsi 21800mbepw220330
NXEW	Capinv 5xlongsg231115
O08	Ossia International Ltd
O10	Orchard Parade Holdings Ltd
O32	Olam International Limited
O39	Oversea-chinese Banking Corp
O5RU	Aims Amp Cap Industrial Reit
O6Z	Lonza Group Ltd
O87	Spdr Gold Shares
O9A	Dbxt Msci Singapore Im Etf 10
O9E	Parkson Retail Asia Limited
O9P	Ishares Usd Asia Hy Bond Etf
OAJ	Fortress Minerals Limited
OAOW	Nky 29000mbecw220311
ODBU	Utdhampshreitusd
OEMW	Hsi 22600mbepw220330
OFGW	Hsi 24000mbecw220428
OL9S	Nz10100f 300901
OMK	Vividthree Holdings Ltd.
OQNW	Hsi 23000mbepw220629
OQTW	Gentingsmbecw221028
OSSW	Uob Mb Ecw220704
OTS	Ots Holdings
OTX	Medinex Limited
OU8	Centurion Corporation Limited
OV8	Sheng Siong Group Ltd
OVQ	Phillip Sing Income Etf
OXMU	Prime Us Reitusd
OYY	Propnex Limited
P11	Pacific Andes Resources Devltd
P15	Pacific Century Regional Devts
P34	Petra Foods Limited
P36	Pan Hong Property Group Ltd
P40U	Starhill Global Reit
P52	Pan-united Corporation Ltd
P58	Lyxor China H 10
P5P	Cimb S&p Asia Pacific Dividend
P60	Lyxor Asia 10
P74	China Kangda Food Company Ltd
P7VU	Hutchison Port Hldgs Trust S$
P8A	Cordlife Group Limited
P8Z	Bumitama Agri Ltd.
P99W	Ocbc Bk Mb Ecw220630
P9D	Civmec Limited
PA3	Ta Corporation Ltd
PBSW	Vibropower W250116^
PGU	Pegasus Spac U
PH0	Hatten Land
PH1S	Na12100n 420202
PPBW	Hstech 5000mbepw220629
PRH	Citicode Ltd
PU6D	Hsbc Adr 10
PUOW	Netease 5xshortsg221115
PVWW	Hsi 22200mbepw220428
PVYW	Nky 30000mbecw220610
PZGW	Ganfenglit Mb Ecw220705
Q01	Qaf Ltd
Q0F	Ihh Healthcare Berhad
Q0X	Ultro Technologies Limited
Q5T	Far East Hospitality Trust
QAHW	Thaibev 5xlongsg231115
QC7	Q & M Dental Group (s) Limited
QES	Chinasunsine
QFYW	Byd 5xlongub241231
QK9	Is Msci India 100 S$
QL2	Ishares Usd Asia Bond Etf S$
QL3	Ishares Usd Asia Hy Bond Etfs$
QNHW	First Sponsor W240530
QNS	Southernalliance
QPAW	Tencentmbecw220705
QR9	Cimb S&p Asia Pac Dividend S$
QS0	Cimb Ft Asean 40 100 S$
QS9	Radiance Group Limited
QSD	Resources Gbl
QZG	Accrelist Ltd
R14	Ramba Energy Limited
R1MS	Nx13100h 230701
R1NS	Nz13100v 330901
RAYW	First Sponsor W290321
RC5	Triyards Holdings Limited
RCU	Revez
RDR	Incredible
RE4	Geo Energy Resources Limited
REVW	Capinv 5xshortsg231115
RF1U	Religare Health Trust
RIWW	Hsi 23000mbepw220225
RLJW	Hsi 23400mbepw220128
RMRB	Astrea Iv S$242m4.35%b280614
RNRW	Jd Mb Ecw220302
RPLW	Meituan Mb Ecw220705
RQ1	Overseas Education Limited
RS1	China Environmental Res Gp Ltd
RVVW	Uob Mb Ecw220701
RW0U	Mapletree Greater Chinacomm Tr
RYKW	Sgx Mb Epw220704
S07	Shangri-la Asia Limited
S08	Singapore Post Limited
S19	Singapore Shipping Corp Ltd
S20	Straits Trading Co. Ltd
S23	Singapura Finance Ltd
S27	Spdr S&p 500 Etf Trust
S29	Stamford Tyres Corporationltd
S2D	Tosei Corporation
S35	Sing Investments & Finance Ltd
S3N	Okh Global Ltd.
S41	Hong Leong Finance Limited
S44	Engro Corporation Limited
S45U	Singapore Index Fund
S51	Sembcorp Marine Ltd
S56	Samudera Shipping Line Ltd
S58	Sats Ltd.
S59	Sia Engineering Co Ltd
S61	Sbs Transit Ltd
S63	Singapore Tech Engineering Ltd
S68	Singapore Exchange Limited
S69	Serial System Ltd
S71	Sunright Ltd
S7OU	Asian Pay Television Trust
S7P	Soilbuild Construction Grp Ltd
S85	Straco Corporation Limited
S9B	Tee Land Limited
SDRW	S&p 4800mbecw220617
SES	Cph Ltd.
SJY	Megroup Ltd.
SK3	Krisenergy Ltd.
SK6U	Sph Reit
SO7	Yangzijiang Shipbldg Hldgs Rmb
SQ1B	Sia S$750m 3.03% B 240328
SRT	Csop Iedge Sreit Etf S$
SRU	Csop Iedge Sreit Etf Us$
SSAW	Hsi 26200mbecw220330
SSS	Phil Short Simsci-1x S$
SSU	Phil Short Simsci-1x Us$
STG	Sri Trang Gloves
STP	Silkroad Nickel Ltd.
SYM	Memiontec
SYYW	Soilbuild Constw240729
SZQW	Nky 28000mbepw220311
T09	Tt International Limited
T12	Tat Seng Packaging Group Ltd
T13	Rh Petrogas Limited
T14	Tianjin Zhong Xin Pharm Group
T15	Tan Chong Int'l Ltd
T24	Tuan Sing Holdings Limited
T39	Singapore Press Hldgs Ltd
T41	Telechoice International Ltd
T43	Techcomp (holdings) Limited
T4B	Sino Grandness Food Ind Gp Ltd
T55	Transpac Industrial Hldgs Ltd
T6I	Valuemax Group Limited
T82U	Suntec Real Estate Inv Trust
T8FS	Ny14100e 290701
T8V	Pacific Radiance Ltd.
TBMR	Stamford Land R
TCU	Creditbureauasia
TEKB	Temasek S$500m 2.7% B 231025
TEMB	Temasek 1.8% 261124xb#
TFLW	Uob Mb Epw221101
TGSW	Hstech 6600mbecw220629
THLW	Comfort 5xshortsg231115
THVW	Alibaba Mb Ecw220404
TID	Xt Mschina S$
TLMW	Ocbc Bk Mb Ecw220701
TQ5	Frasers Centrepoint Limited
TS0U	Oue Commercial Reit
TSGW	Tencent 5xlongub241231
TVV	Artivision
U06	United Industrial Corp Ltd
U09	Upp Holdings Limited
U10	Uob-kay Hian Holdings Limited
U11	United Overseas Bank Ltd
U13	United Overseas Insurance Ltd
U14	Uol Group Limited
U77	Sarin Technologies Ltd
U96	Sembcorp Industries Ltd
U9E	Hankore Environment Tec Grpltd
UD1U	Ireit Global
UD2	Japfa Ltd.
UEDW	Hstech 6200mbecw220330
UHIW	Hsi 24800mbecw220225
UKDW	Dbs Mb Ecw220701
URR	Sim Leisure Group Ltd.
UV1	Hisaka Holdings Ltd.
UVIW	Hsi 27200mbecw220225
UYUW	Uob Mb Ecw220328
UYXW	Capitalandinvmbecw220330
V03	Venture Corporation Limited
V0CW	Dbs Mb Epw220204
V0ZW	Uob Mb Epw220331
V2Y	Synagie Corporation Ltd.
V3M	Metech International Ltd
VAIW	Annaik W241009
VBBW	Wilmar Mb Ecw220615
VETW	Hstech 6000mbepw220629
VFP	China Medical (intl) Gp Ltd
VI2	Tc Auto
VL6	Koufu Group Limited
VOCW	Meituan Mb Epw220705
VSIW	Hsi 26800mbecw220128
VSJW	Sgx Mb Ecw221115
VTA	Vertex Spac U
VVL	Alphadx
VXMW	Yangzijimbecw221004
VYBW	Xiaomi Mbepw220302
W05	Wing Tai Hldgs Ltd
W1XW	Incredible W240204
WA9W	Alibaba 5xlongub241231
WDIW	Baidu Mb Epw220404
WERW	Hsi 24000mbecw220225
WG2W	Asl M W240723
WJP	Vicom Ltd
WMXW	Hsi 25600mbecw220225
WNKW	S&p 3600mbepw220617
WPC	Vallianz Holdings Ltd
WPOB	Sia Mcbz300608#
WRDW	Ocbc Bk Mb Epw220615
WS5W	Baidu Mb Ecw220404
WSNW	S&p 4200mbepw220318
WUNW	Hsi 21800mbepw220128
WW8W	Jd Mb Ecw220404
WZ2W	Beverly Jcg W240531
X1KW	Yzj 5xlongsg231115
X3UW	Xiaomi Mbepw220602
XCF	Ktmg Limited
XDSW	Alibaba Mb Epw220302
XDUW	S&p 5200mbecw220617
XGHW	S&p 4000mbepw220617
XGYW	Uob Mb Epw220701
XHDW	Sti 3300mbecw220428
XHRW	Xiaomi Mbecw220404
XJB	Ghy Culture
XNMW	Sti 2850mbepw220428
XVG	$ Aedge Group
XVWW	Kuaisho Mb Epw220705
XWA	Aem Usd
XXQW	Uob Mb Epw220214
XZL	Ara Us Hospitality Trust
Y03	Yeo Hiap Seng Ltd
Y06	Youcan Foods International Ltd
Y1OW	Ocbc Bk Mb Epw220331
Y2BW	Dbs Mb Epw220627
Y35	Sun East Group Limited
Y3D	Mdr Limited
Y45	Singapore Windsor Holdings Ltd
Y6OB	Gsh Cb5.2%241012#
Y7RW	Uob Mb Ecw220214
Y8E	Samurai 2k
Y92	Thai Beverage Public Co Ltd
YD3W	Tencentmbecw220302
YKMW	Top Glove Mb Ecw220831
YNPW	Jd Mb Epw220302
YPJW	Meituan Mb Ecw220404
YQ7B	Sia 2021 Mcbz300608#
YQOW	Alibaba Mb Epw220705
YSUB	Banyantree Cb7.5%220806#
YTCW	Sti 3050mbepw220428
YURW	Ocbc Bk Mb Ecw220627
YVDW	Jd Mb Ecw220705
YVWW	Citydev Mb Ecw220315
YWJW	Nky 24000mbepw220311
YYB	Arion Entertainment Spore Ltd
YYN	Platocapital
YYR	Lion-ospl China L Cny
YYY	Lion-ospl China L S$
Z25	Yanlord Land Group Limited
Z59	Yoma Strategic Holdings Ltd
Z74	Singtel
Z77	Singtel 10
ZFCW	Hsi 22200mbepw220225
ZFGS	Na21200w 511001
ZFSW	2ndchance W230307
ZHD	Nikkoam-icbcsg Cnb Us$
ZHS	Nikkoam-icbcsg Cnb S$
ZHY	Nikkoam-icbcsg Cnb Cny
ZKDW	Alibaba Mb Ecw220302
ZL8S	Na20100f 500301
ZM4W	Hstech 6400mbepw220330
ZXY	Alpina Holdings
